,Follower_measure_x_follower,Follower_measure_y_follower,Leader_measure_x_leader,Leader_measure_y_leader,labels
9,-1.042569637298584,-0.2410979717969894,-1.2679566144943235,0.4145679771900177,0.0
10,-1.0569860935211182,-0.2455900013446808,-1.1654542684555054,0.411869466304779,0.0
11,-1.0718579292297363,-0.2567873299121856,-1.028780221939087,0.4074718654155731,0.0
12,-1.0845177173614502,-0.2575016617774963,-0.8506094813346863,0.3675642907619476,0.0
13,-0.9748108386993408,-0.1059853136539459,-0.6250448822975159,0.2361737936735153,0.0
14,-0.8082889914512634,-0.0086509557440876,-0.4170185327529907,0.035897109657526,0.0
15,-0.7321016192436218,-0.051811184734106,-0.258203774690628,-0.2387413680553436,0.0
16,-0.4991328120231628,-0.2058536112308502,-0.1780431419610977,-0.5065076947212219,0.0
17,-0.3721775114536285,-0.4051592946052551,-0.1939829885959625,-0.7661367654800415,0.0
18,-0.3452838361263275,-0.6272973418235779,-0.3185778558254242,-1.035780429840088,0.0
19,-0.4126873314380646,-0.850062370300293,-0.5217208862304688,-1.247562050819397,0.0
20,-0.5583282113075256,-1.0266313552856443,-0.7582154870033264,-1.3802748918533323,0.0
21,-0.7400768399238586,-1.1446465253829956,-1.0411503314971924,-1.434217929840088,0.0
22,-0.9520395398139954,-1.209586262702942,-1.3309617042541504,-1.41413414478302,0.0
23,-1.166375756263733,-1.2234410047531128,-1.5812196731567385,-1.3264055252075195,0.0
24,-1.3580330610275269,-1.1839823722839355,-1.80761194229126,-1.1583315134048462,0.0
25,-1.4299689531326294,-1.09604012966156,-1.9725483655929563,-0.9396803379058838,0.0
26,-1.448888063430786,-0.9503046870231628,-2.1108460426330566,-0.6876882910728455,0.0
27,-1.4551920890808103,-0.7581255435943604,-2.1800050735473637,-0.4452140927314758,0.0
28,-1.4719200134277344,-0.5508996248245239,-2.139000177383423,-0.1978645026683807,0.0
29,-1.4838628768920898,-0.3423933088779449,-1.9745458364486692,0.0504186525940895,0.0
30,-1.492546319961548,-0.1672177016735077,-1.7404651641845703,0.2231399118900299,0.0
31,-1.505098819732666,-0.0668622925877571,-1.4703760147094729,0.3362593650817871,0.0
32,-1.5338690280914309,-0.237928956747055,-1.2565189599990845,0.3868877291679382,0.0
33,-1.5548322200775146,-0.2397454530000686,-1.0182400941848757,0.3725390136241913,0.0
34,-1.551674246788025,-0.2360187917947769,-0.7886867523193359,0.3219743371009826,0.0
35,-1.3465332984924316,-0.0473358035087585,-0.5740106701850891,0.2092553079128265,0.0
36,-0.9393476247787476,0.005447139032185,-0.3561539649963379,0.0532404109835624,0.0
37,-0.6119886636734009,-0.0657645389437675,-0.0772750452160835,-0.1735189408063888,0.0
38,-0.2900940775871277,-0.2129296064376831,0.2291847467422485,-0.361319363117218,0.0
39,0.0467687733471393,-0.3561309278011322,0.5368083715438843,-0.4508036077022552,1.0
40,0.360846608877182,-0.4595381021499634,0.7673817873001099,-0.4895056486129761,1.0
41,0.432355672121048,-0.5262715816497803,0.7954912781715393,-0.4931129515171051,1.0
42,0.4128997325897217,-0.5743914246559143,0.8270575404167175,-0.5682368874549866,1.0
43,0.4634924530982971,-0.5623045563697815,0.7340010404586792,-0.7370321750640869,1.0
44,0.4626893699169159,-0.5864965915679932,0.5176512002944946,-0.8177516460418701,1.0
45,0.4433625936508178,-0.6223406791687012,0.2243256568908691,-0.8130840063095093,0.0
